#{"t_start": 1753292095.503113, "env_id": "intersection-v0"}
r,l,t
-2.78011,10,312.489594
8.299727,11,312.905015
8.615844,10,313.335394
10.0,10,313.553905
7.61852,9,313.80465
8.681208,10,314.183668
7.61852,9,314.380726
1.0,7,314.634497
5.870879,12,315.004388
-2.373197,6,315.24263
-1.379585,5,315.406086
8.28598,11,315.670033
-1.0,5,315.859428
-1.0,5,316.044977
-0.681243,6,316.19858
8.0,8,316.421485
-1.57953,4,316.586346
1.0,7,316.762214
6.0,13,317.397824
-3.382507,6,317.573285
-3.0,3,317.66703
9.0,9,317.896149
8.552042,11,318.211407
-1.526176,8,318.471868
1.0,8,318.757386
-1.372771,6,319.019418
7.231573,11,319.304785
-1.222746,6,319.47537
-0.31878,7,319.646065
8.616025,10,319.889072
-0.373185,6,320.094683
8.459802,13,320.509965
6.68121,10,320.71709
-1.318719,7,320.864022
-1.0,5,321.019521
7.61852,9,321.335325
7.100053,12,321.726682
-1.0,4,321.911971
-2.373197,6,322.06679
-2.373197,6,322.308775
4.457806,13,322.68352
1.551666,13,323.129997
0.0,6,323.333569
9.0,9,323.498106
10.0,10,323.871234
9.0,10,324.346352
0.0,6,324.491797
-2.29738,3,324.62692
9.0,9,325.078677
-1.366575,6,325.227967
-3.393468,11,325.585533
7.174738,12,326.096324
-2.444964,6,326.262837
-2.315342,8,326.473526
9.552805,12,326.969351
-1.0,5,327.141775
10.0,10,327.451256
-1.0,6,327.687713
2.560968,13,328.014931
10.0,10,328.300807
-3.356173,6,328.46062
9.0,9,328.659809
9.0,9,328.903502
-3.382507,6,329.093737
-1.0,5,329.24873
7.562943,10,329.618652
7.552044,10,329.929623
-3.382507,10,330.39937
9.0,9,330.638371
-2.436558,6,330.728169
7.473377,11,330.951852
4.0,13,331.28981
8.549894,11,331.760423
-3.525209,10,331.981913
9.0,9,332.177671
-5.0,1,332.227258
8.618513,10,332.49876
1.0,7,332.63363
8.0,8,332.805952
9.0,9,332.977555
-5.0,1,333.039436
-3.39375,8,333.289488
-1.0,5,333.501763
0.0,6,333.628469
0.0,6,333.83391
8.550182,11,334.136078
-1.757211,8,336.424365
7.538649,11,336.832077
6.091242,13,337.204
