#{"t_start": 1753290495.435851, "env_id": "intersection-v0"}
r,l,t
8.0,8,191.597857
9.0,9,191.93882
-5.0,1,192.000195
9.0,9,192.266274
9.0,9,192.530904
-1.0,5,192.776365
0.0,6,192.977874
10.0,10,193.245334
0.0,6,193.442526
9.0,9,193.74104
-1.0,5,193.928332
8.0,8,194.174027
9.0,9,194.355737
9.0,9,194.620163
10.0,10,195.047802
10.0,10,195.316229
-1.0,5,195.602423
9.0,9,195.821481
10.0,10,196.039616
-0.57992,5,196.172458
-1.0,5,196.31193
10.0,10,196.600145
9.0,9,196.874873
9.0,9,197.215045
-1.84084,4,197.344494
9.615599,11,197.623243
8.615844,10,197.862505
-1.0,5,198.036697
0.700013,6,198.333758
0.0,6,198.537304
8.0,8,198.772618
-1.0,5,198.958048
-1.0,5,199.135271
9.0,9,199.35367
-1.0,5,199.488737
10.0,10,199.837508
9.0,9,200.071102
-0.299923,5,200.286206
8.62673,10,200.666776
-0.381164,7,200.930818
3.7,9,201.271723
-0.299923,5,201.435905
8.681208,10,201.768053
9.0,9,201.995182
0.0,6,202.1706
-0.57992,5,202.324968
0.0,6,202.499188
9.0,9,202.791483
-0.57992,5,202.883552
9.0,9,203.096808
-1.0,5,203.268392
10.0,10,203.487048
-1.0,5,203.664738
10.0,10,204.085909
-0.299923,5,204.258579
10.0,10,204.437301
-1.0,5,204.590285
7.633114,9,205.048512
-1.379585,6,205.1733
-5.0,1,205.222983
9.0,9,205.518977
-1.0,5,205.655977
-3.563902,2,205.754895
0.0,5,205.90471
-2.0,4,206.104993
-1.0,5,206.301256
-1.0,4,206.462441
-1.379585,6,206.662162
1.0,7,206.890977
8.633113,11,207.216688
0.0,6,207.375125
10.0,10,207.610517
9.0,9,207.874639
0.0,6,208.116185
9.0,9,208.457825
9.0,9,208.701045
9.0,9,208.916944
0.0,6,209.144874
-1.0,5,209.288426
0.0,6,209.423526
8.618513,10,209.71724
-4.210284,1,209.781771
0.0,6,209.983455
0.0,6,210.170353
-1.0,5,210.367829
10.0,10,210.584718
9.0,9,210.886803
9.0,9,211.195378
-1.366575,6,211.440804
0.0,6,211.651409
8.0,8,211.964512
-1.0,5,212.091775
0.0,6,212.391648
0.0,6,212.594471
10.0,10,212.849119
9.0,9,213.16519
1.0,7,213.316148
-1.0,5,213.469639
9.0,9,213.831645
9.0,9,214.152887
0.0,5,214.286817
-1.0,5,214.444016
9.0,9,214.689297
10.0,10,214.97165
0.0,6,215.203583
-1.366575,6,215.441995
11.0,11,215.786651
0.0,6,215.989104
-0.299923,5,216.164778
10.0,10,216.437857
0.0,6,216.575553
-1.0,5,216.78245
0.0,6,216.912374
10.0,10,217.223908
9.0,9,217.360953
10.0,10,217.734634
0.0,6,217.890364
0.0,5,218.047932
9.0,9,218.270075
0.0,6,218.4983
0.0,6,218.641843
-3.0,3,218.752546
10.0,10,219.060469
10.0,10,219.494793
8.0,8,219.684829
-2.0,4,219.825943
-1.84084,4,219.951397
0.0,6,220.19787
0.0,6,220.426194
-0.57992,5,220.568688
9.0,9,220.900476
9.0,9,221.158521
8.0,8,221.419166
-5.0,1,221.475315
8.615645,10,221.83677
9.0,9,222.142544
-2.0,4,222.254855
9.0,9,222.481853
0.0,6,222.680064
9.0,9,222.947588
-1.0,5,223.162018
0.0,6,223.363362
-1.299552,4,223.456916
0.0,6,223.662337
-0.31878,7,223.949736
-1.0,4,224.029348
8.618513,10,224.41269
-1.0,5,224.551541
9.0,9,224.859538
8.552042,11,225.198032
1.0,7,225.402946
-0.931455,6,225.584178
-0.841249,5,225.694729
-1.0,5,225.853239
10.0,10,226.110137
9.0,9,226.373753
-1.0,5,226.595485
0.0,6,226.760201
10.0,10,227.091788
10.0,10,227.463703
10.0,10,227.7941
-1.0,5,227.981628
9.0,9,228.349406
0.0,6,228.572956
0.420014,6,228.73354
0.700013,6,228.872446
0.0,6,229.079191
1.0,7,229.314386
9.0,9,229.54846
0.700013,6,229.692821
9.0,9,229.997369
10.0,10,230.332428
0.0,5,230.457862
0.0,5,230.660327
1.0,7,230.830029
8.0,8,231.028127
10.0,10,231.379798
0.0,6,231.562303
-1.0,5,231.691451
10.0,10,232.007906
7.61852,9,232.235531
0.0,6,232.42151
8.681208,10,232.719375
0.0,6,232.958873
11.0,11,233.255858
-1.379585,5,233.441301
10.0,10,233.799272
-1.0,5,233.969896
8.616025,10,234.228016
-1.0,5,234.352629
-1.0,5,234.547073
9.615573,11,235.029882
-0.57992,5,235.163618
9.0,9,235.323883
0.0,6,235.501234
-2.0,4,235.644608
1.0,7,235.825398
0.0,6,235.982724
9.0,9,236.284248
9.0,9,236.606161
-1.958347,5,236.773919
0.0,6,236.971407
10.0,10,237.222903
10.0,10,237.552452
9.0,9,237.770309
-1.84084,4,237.943835
9.0,9,238.260867
-1.0,5,238.42601
-1.0,5,238.639128
10.0,10,239.082913
10.0,10,239.387437
0.0,6,239.69747
-1.57953,4,239.828095
10.0,10,240.056759
10.0,10,240.357571
10.0,10,240.664912
0.0,6,240.794316
-1.366575,6,241.059395
-1.0,5,241.230462
