#{"t_start": 1753288312.887274, "env_id": "highway-fast-v0"}
r,l,t
16.8,22,143.295797
5.4,7,143.380582
5.066667,7,143.467399
5.166044,7,143.556898
5.6,8,143.652715
22.633339,30,143.991208
11.7,15,144.169062
21.020221,30,144.523872
8.0,10,144.644312
10.466667,13,144.808483
9.2,12,144.953011
12.2,15,145.131695
12.833333,17,145.330788
12.533333,16,145.521759
6.4,9,145.634182
13.933333,17,145.834521
17.013112,19,146.053321
21.820221,30,146.428703
20.3,25,146.752414
12.446445,14,146.920473
20.0,24,147.196149
17.046445,18,147.405605
1.733333,3,147.444487
22.533333,28,147.791239
8.779779,10,147.90892
20.0,24,148.188754
7.499377,10,148.310066
24.0,30,148.67233
19.699377,24,148.951796
13.6,18,149.162031
19.466044,25,149.457573
10.533333,14,149.633796
13.366667,17,149.835104
22.866667,30,150.179696
13.066667,16,150.379409
9.6,13,150.556691
12.932711,16,150.781437
22.620221,30,151.163914
9.099377,12,151.31631
15.033333,19,151.566625
21.553555,30,151.919744
10.4,14,152.09607
9.6,13,152.281664
8.733333,11,152.422077
10.166667,13,152.627338
21.286888,30,152.994325
4.4,6,153.071521
25.0,30,153.419746
2.499377,4,153.471643
5.266667,7,153.558939
14.566044,18,153.775461
9.2,12,153.920564
10.4,14,154.084579
20.953555,30,154.441316
5.9,8,154.542261
22.020221,30,154.892165
24.913112,30,155.280524
17.4,21,155.553817
8.8,12,155.704074
21.820221,30,156.05833
6.133333,8,156.157044
25.466667,28,156.515668
11.333333,14,156.708945
7.219667,9,156.822324
12.533333,16,157.029006
10.6,13,157.184268
10.199377,13,157.340969
6.4,9,157.453267
12.046445,14,157.637493
21.320215,30,157.986014
7.533333,10,158.11127
3.2,5,158.174204
8.0,11,158.309617
10.4,14,158.491299
11.580129,14,158.658156
1.6,3,158.697199
14.8,18,158.907755
3.2,5,158.969422
9.733333,12,159.112758
11.153112,14,159.279183
7.0,9,159.388371
7.533333,10,159.531142
10.033333,13,159.689887
3.533333,5,159.752098
5.6,8,159.848298
7.0,9,159.957555
4.4,6,160.0304
15.666667,19,160.257975
1.766045,3,160.299226
26.0,30,160.704404
14.313463,17,160.909225
1.866044,3,160.950143
7.479779,9,161.062076
22.753555,30,161.420652
3.2,5,161.500959
10.866667,14,161.669603
10.466667,13,161.826796
8.366667,11,161.960217
2.4,4,162.011995
11.466667,14,162.182499
24.999377,30,162.558024
6.550269,9,162.670449
5.166667,7,162.756813
15.779779,17,162.962123
3.333333,5,163.024075
20.0,24,163.354407
10.266044,13,163.514012
9.6,12,163.669963
10.945163,13,163.822389
4.0,6,163.900072
6.133333,8,164.009993
8.8,12,164.163874
17.533333,22,164.451483
3.333333,5,164.518433
4.4,6,164.595761
7.133333,9,164.706564
8.0,10,164.825492
2.433333,4,164.90191
18.8,22,165.210136
8.366667,11,165.365106
2.4,4,165.424086
22.4,29,165.862067
5.4,7,165.982465
5.715775,8,166.115837
7.2,10,166.253142
12.8,17,166.459831
17.733333,23,166.728296
4.4,6,166.801499
20.866667,26,167.104273
3.533333,5,167.165141
3.2,5,167.227992
13.066667,16,167.415712
12.219779,15,167.589094
4.8,7,167.674232
24.0,30,168.017273
19.315775,25,168.307033
1.6,3,168.34576
17.6,23,168.608302
6.133333,8,168.704118
4.4,6,168.778768
5.6,8,168.872982
23.2,30,169.225393
4.533333,6,169.299938
2.666667,4,169.349363
5.486334,7,169.433021
20.286888,30,169.785901
4.4,6,169.865242
18.17978,21,170.134092
15.046446,19,170.378867
5.4,7,170.466125
22.153555,30,170.847
7.866667,10,170.98093
8.133333,11,171.129153
16.533333,20,171.366354
21.020221,30,171.716653
4.366667,6,171.789979
3.2,5,171.851401
4.0,6,171.92647
10.033333,13,172.083459
13.6,18,172.296554
4.8,7,172.382049
3.5,5,172.44356
6.133333,8,172.540329
3.5,5,172.605062
14.8,18,172.820424
5.6,8,172.917312
4.4,6,172.991274
26.0,30,173.342817
25.2,30,173.692513
21.385994,30,174.037925
22.132135,27,174.354537
7.832088,10,174.477311
23.75102,30,174.834387
22.652266,30,175.182098
3.532711,5,175.246161
6.266044,8,175.344482
7.866667,10,175.467104
3.666044,5,175.529355
21.732711,26,175.843338
6.098711,8,175.940656
3.532711,5,176.00154
1.8,3,176.039917
17.399377,21,176.282914
3.533333,5,176.343749
1.765379,3,176.38163
4.2,6,176.455649
2.533333,4,176.506505
5.646796,7,176.591265
5.113112,6,176.663165
10.033333,13,176.814464
10.4,14,176.980801
17.799377,23,177.246592
5.733333,8,177.344116
4.0,6,177.416832
8.366667,11,177.547647
19.133333,23,177.817665
5.233333,7,177.903293
3.533333,5,177.963229
6.433333,9,178.070835
11.466667,14,178.232522
19.2,25,178.527439
21.420221,30,178.89622
20.866667,26,179.203241
23.186265,30,179.552698
10.033333,13,179.705144
23.2,30,180.05241
7.133333,9,180.162284
10.779779,13,180.315892
22.286888,30,180.663085
24.832711,30,181.033909
24.113113,28,181.384751
7.866667,10,181.513112
15.719044,20,181.754917
6.133333,8,181.852916
2.533333,4,181.907119
19.2,24,182.192851
1.6,3,182.232786
2.019667,3,182.272518
12.2,15,182.480972
14.8,18,182.708847
3.533333,5,182.771893
20.020221,30,183.120449
9.498711,12,183.268987
4.498711,6,183.347429
17.285823,20,183.599564
7.832044,10,183.723281
20.832711,25,184.020141
7.0,9,184.128008
18.266667,22,184.385945
12.165378,15,184.569795
6.132711,8,184.672264
1.765379,3,184.712081
8.698711,11,184.848164
25.2,30,185.208572
4.365378,6,185.283448
16.445824,19,185.508177
18.065145,24,185.793151
6.999377,9,185.901484
7.133333,9,186.00942
4.365378,6,186.083723
11.448486,14,186.258017
3.498711,5,186.324925
22.252265,30,186.678045
26.0,30,187.035661
18.232711,22,187.296699
10.466044,13,187.479898
25.999377,30,187.851276
4.878536,6,187.927937
22.6,27,189.87785
12.165378,15,190.117808
25.965378,30,190.559476
12.017685,15,190.759357
2.632131,4,190.814893
6.799377,9,190.933502
13.066667,16,191.162698
22.020221,30,191.580135
25.383602,30,191.947411
3.2,5,192.014295
15.166667,19,192.250364
12.8,17,192.466006
7.2,10,192.601925
20.453555,30,193.002495
4.8,7,193.101687
12.533333,16,193.295059
4.166667,6,193.36941
6.066045,8,193.467712
3.533333,5,193.529436
4.186887,7,193.616398
3.533333,5,193.680943
19.432711,25,194.045571
20.866667,26,194.361178
22.4,29,194.699918
24.665421,30,195.07964
23.086888,30,195.454552
7.2,10,195.574258
6.0,8,195.670977
3.533333,5,195.732819
17.733333,23,196.012281
4.132711,6,196.094938
6.133333,8,196.205848
16.815775,21,196.48515
13.499377,17,196.693579
26.0,30,197.051542
3.2,5,197.113643
14.933333,18,197.329728
2.533333,4,197.381046
9.266044,12,197.526398
6.266044,8,197.623393
12.333333,15,197.804075
10.466667,13,197.959728
25.999377,30,198.317105
4.878536,6,198.399024
2.8,4,198.457234
23.753555,30,198.820162
23.220221,30,199.176392
22.652266,30,199.531831
4.365378,6,199.604269
9.565378,12,199.744373
12.298711,15,199.9216
6.132711,8,200.017392
16.532711,20,200.253439
19.179156,22,200.511042
1.885597,3,200.549862
15.666667,19,200.76996
2.666667,4,200.820016
7.866044,10,200.937533
13.933333,17,201.139947
1.765379,3,201.178563
7.0,9,201.297051
16.710437,20,201.542875
22.518932,30,201.921025
19.232044,23,202.232213
7.214573,9,202.342951
6.999377,9,202.453279
4.365378,6,202.532576
12.2,15,202.709589
5.365378,7,202.794762
11.079157,13,202.959518
6.232044,8,203.069471
7.866044,10,203.203884
6.513158,8,203.310467
7.115152,9,203.438012
13.165378,16,203.63908
8.698711,11,203.769291
2.666044,4,203.819921
1.213001,2,203.850321
4.2,6,203.929087
22.919598,30,204.278656
3.432044,5,204.339143
8.933333,12,204.480473
22.253555,30,204.860381
11.899377,15,205.045133
14.632711,18,205.258037
12.533333,16,205.448022
8.699377,11,205.587107
19.2,24,205.87065
1.766045,3,205.909126
11.166044,14,206.07415
25.085057,30,206.421605
9.466667,12,206.562508
13.032044,16,206.747
7.832044,10,206.865916
26.0,30,207.213216
13.032711,16,207.399972
7.866667,10,207.527962
12.2,15,207.707517
11.332711,14,207.875223
25.486259,30,208.242548
6.745158,8,208.360291
8.866667,11,208.49312
7.133333,9,208.602283
3.533333,5,208.665186
5.399377,7,208.750637
19.147197,23,209.035034
19.132711,23,209.305502
20.832044,25,209.616857
10.645823,12,209.759767
9.599377,12,209.901359
12.199377,15,210.085674
22.419598,30,210.440046
5.046446,6,210.550303
