#{"t_start": 1753289101.764769, "env_id": "highway-fast-v0"}
r,l,t
7.782091,9,47.430388
1.980129,3,47.46944
12.913112,14,47.635621
1.913001,3,47.674602
8.013112,9,47.78155
10.019779,11,47.913216
9.51264,11,48.044627
3.913158,5,48.106583
18.646755,20,48.340884
7.746445,9,48.450444
8.913112,10,48.570983
5.012703,7,48.656087
3.979314,5,48.71738
10.513112,12,48.859255
4.313113,5,48.921714
5.996875,7,49.009374
7.315424,9,49.117583
2.649413,4,49.168516
1.180129,2,49.196098
5.785823,7,49.28222
2.046796,3,49.319221
5.153112,6,49.39353
4.512496,6,49.466649
2.046796,3,49.505368
4.713417,6,49.578088
3.713118,5,49.639845
8.713112,10,49.759562
14.479779,16,49.948181
9.179784,11,50.079921
11.479819,13,50.233856
5.832511,7,50.320217
5.953099,8,50.417996
4.046452,5,50.480673
9.913112,11,50.612761
6.778849,8,50.709532
11.479819,13,50.867108
5.91264,7,50.952606
6.013112,7,51.037652
11.379307,13,51.192166
2.979354,4,51.243776
2.952639,4,51.294769
7.615424,9,51.403091
18.845973,20,51.636617
2.813158,4,51.686318
1.979667,3,51.725436
5.579779,7,51.810884
3.713118,5,51.873812
5.046446,6,51.948365
11.886445,13,52.104239
4.712642,6,52.177788
7.046446,8,52.27527
3.313503,5,52.337299
1.846796,3,52.375162
6.113113,8,52.474479
1.153,2,52.501188
1.946796,3,52.540651
4.046452,5,52.602477
14.046445,15,52.781682
6.886445,8,52.879078
1.180129,2,52.907123
12.113112,14,53.075842
2.046796,3,53.114682
8.979779,10,53.234817
4.953112,6,53.309132
2.886444,4,53.360567
3.951661,5,53.424367
4.646021,6,53.496682
6.619779,8,53.595709
2.846021,4,53.646396
6.646446,8,53.745099
8.913112,10,53.867031
2.753097,4,53.91819
5.019308,6,53.991897
5.179784,6,54.065531
14.913112,17,54.267011
4.730671,6,54.342039
9.046445,10,54.464173
10.753112,12,54.607633
9.313112,11,54.739114
3.97978,5,54.803992
7.313112,8,54.900576
6.013112,7,54.985223
7.153112,8,55.081028
6.845974,8,55.178334
3.913158,5,55.238958
3.112647,4,55.290038
7.046445,8,55.385073
5.919779,7,55.471998
7.613417,9,55.579766
2.046796,3,55.618408
5.153112,6,55.691946
5.813112,7,55.778404
8.179307,9,55.885924
